day,service,usage_units,cost_gbp,incidents,sla_pct
2025-10-01,CorePlatform,1900,410,2,99.92
2025-10-02,CorePlatform,1925,412,1,99.95
2025-10-03,CorePlatform,1950,415,2,99.91
2025-10-04,CorePlatform,1980,418,1,99.94
2025-10-05,CorePlatform,2005,420,3,99.88
2025-10-06,CorePlatform,2030,423,1,99.96
2025-10-07,CorePlatform,2055,426,2,99.93
2025-10-08,CorePlatform,2080,429,2,99.90
2025-10-09,CorePlatform,2105,431,1,99.95
2025-10-10,CorePlatform,2130,434,2,99.92
2025-10-11,CorePlatform,2155,437,3,99.87
2025-10-12,CorePlatform,2180,439,1,99.96
2025-10-13,CorePlatform,2205,442,2,99.93
2025-10-14,CorePlatform,2230,445,1,99.94
2025-10-15,CorePlatform,2255,448,2,99.91
2025-10-16,CorePlatform,2280,450,1,99.95
2025-10-17,CorePlatform,2305,453,3,99.89
2025-10-18,CorePlatform,2330,456,2,99.92
2025-10-19,CorePlatform,2355,459,1,99.96
2025-10-20,CorePlatform,2380,462,2,99.93
2025-10-21,CorePlatform,2405,464,3,99.88
2025-10-22,CorePlatform,2430,467,1,99.95
2025-10-23,CorePlatform,2455,470,2,99.92
2025-10-24,CorePlatform,2480,472,1,99.94
2025-10-25,CorePlatform,2505,475,2,99.91
2025-10-26,CorePlatform,2530,478,3,99.87
2025-10-27,CorePlatform,2555,480,2,99.90
2025-10-28,CorePlatform,2580,483,1,99.95
2025-10-29,CorePlatform,2605,486,2,99.92
2025-10-30,CorePlatform,2630,489,1,99.94
2025-10-31,CorePlatform,2655,492,2,99.91
